"","food","kalescale","nd","protein","fiber","calcium","iron","magnesium","phosphorous","potassium","sodium","zinc","copper","manganese","selenium","vitc","thiamin","riboflavin","niacin","pantothenicacid","vitb6","folate","vitb12","vita","vite","vitd","vitk"
"3049","MUSHROOMS,BROWN,ITALIAN,OR CRIMINI,RAW",84,14.6334375511312,0.227272727272727,0.109090909090909,0.0818181818181818,0.101010101010101,0.102272727272727,0.545454545454546,0.581818181818182,0.0113636363636364,0.333333333333333,1.13636363636364,0.322727272727273,1.68831168831169,0,0.287878787878788,1.31016042780749,0.863636363636364,0.681818181818182,0.25,0.284090909090909,0.0757575757575758,0,0.00216450216450216,0.0340909090909091,0
"3814","BEEF,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW",83,14.572978438803,0.351515151515152,0,0.0131313131313131,0.258136924803591,0.0429292929292929,0.25959595959596,0.0756132756132756,0.0765993265993266,0.129292929292929,0.215151515151515,0.0717171717171717,2.03463203463203,0.158249158249158,0.24040404040404,1.68746286393345,0.405555555555556,0.401010101010101,0.335858585858586,0.247474747474747,4.62962962962963,0.282222222222222,0.0105820105820106,0.113636363636364,0
"3061","OKRA,RAW",81,14.1027635047548,0.116969696969697,0.387878787878788,0.248484848484848,0.104377104377104,0.431818181818182,0.184848484848485,0.258874458874459,0.00883838383838384,0.117171717171717,0.165151515151515,1.19393939393939,0.0303030303030303,1.16161616161616,0.404040404040404,0.106951871657754,0.151515151515152,0.0742424242424242,0.325757575757576,0.454545454545455,0,0.433939393939394,0.038961038961039,0,1.18560606060606
"2908","BROCCOLI,RAW",80,13.9604743351327,0.165882352941176,0.305882352941176,0.138235294117647,0.119281045751634,0.154411764705882,0.194117647058824,0.265546218487395,0.0404411764705882,0.0803921568627451,0.0720588235294118,0.308823529411765,0.105042016806723,4.37254901960784,0.13921568627451,0.20242214532872,0.0939705882352941,0.168529411764706,0.257352941176471,0.463235294117647,0,0.366470588235294,0.109243697478992,0,3.73529411764706
"2852","ALFALFA SEEDS,SPROUTED,RAW",78,13.6445541731217,0.34695652173913,0.330434782608696,0.139130434782609,0.231884057971014,0.293478260869565,0.304347826086956,0.0981366459627329,0.0108695652173913,0.266666666666667,0.341304347826087,0.408695652173913,0.0372670807453416,0.594202898550725,0.220289855072464,0.322250639386189,0.104565217391304,0.244782608695652,0.0739130434782609,0.391304347826087,0,0.134782608695652,0.0041407867494824,0,1.65760869565217
"3324","SQUASH,SMMR,ALL VAR,RAW",78,13.580679333466,0.15125,0.275,0.09375,0.121527777777778,0.265625,0.2375,0.467857142857143,0.00520833333333333,0.120833333333333,0.159375,0.546875,0.0178571428571429,1.77083333333333,0.2,0.522058823529412,0.1521875,0.096875,0.68125,0.453125,0,0.25,0.0357142857142857,0,0.234375
"3607","NOPALES,RAW",77,13.4927820581268,0.165,0.55,1.025,0.204861111111111,0.8125,0.1,0.458928571428571,0.0546875,0.104166666666667,0.1625,1.428125,0.0625,0.96875,0.05,0.150735294117647,0.128125,0.104375,0.21875,0.046875,0,0.57125,0,0,0.4140625
"3044","MUSHROOMS,WHITE,RAW",76,13.2414868627498,0.280909090909091,0.181818181818182,0.0136363636363636,0.126262626262626,0.102272727272727,0.390909090909091,0.412987012987013,0.00946969696969697,0.157575757575758,0.722727272727273,0.106818181818182,0.603896103896104,0.159090909090909,0.245454545454545,1.07486631016043,0.819772727272727,0.680454545454546,0.236363636363636,0.193181818181818,0.0303030303030303,0,0.00216450216450216,0.0795454545454545,0
"2916","BRUSSELS SPROUTS,RAW",75,13.0372353848534,0.157209302325581,0.353488372093023,0.0976744186046512,0.180878552971576,0.133720930232558,0.16046511627907,0.258471760797342,0.0242248062015504,0.0651162790697674,0.0813953488372093,0.391860465116279,0.053156146179402,3.29457364341085,0.215503875968992,0.12311901504788,0.0866279069767442,0.0718604651162791,0.254651162790698,0.354651162790698,0,0.350697674418605,0.097452934662237,0,5.1453488372093
"3215","SQUASH,SMMR,ZUCCHINI,INCL SKN,RAW",75,13.0278074078519,0.142352941176471,0.235294117647059,0.0941176470588235,0.120915032679739,0.264705882352941,0.223529411764706,0.438655462184874,0.0196078431372549,0.125490196078431,0.155882352941176,0.520588235294118,0.0168067226890756,1.75490196078431,0.176470588235294,0.325259515570934,0.132647058823529,0.12,0.479411764705882,0.352941176470588,0,0.235294117647059,0.0336134453781513,0,0.316176470588235
"3609","CAULIFLOWER,GREEN,RAW",75,13.0182593083639,0.190322580645161,0.412903225806452,0.106451612903226,0.130824372759857,0.161290322580645,0.2,0.276497695852535,0.0309139784946237,0.137634408602151,0.0661290322580645,0.398387096774194,0.0276497695852535,4.73655913978495,0.172043010752688,0.193548387096774,0.118387096774194,0.224516129032258,0.358064516129032,0.459677419354839,0,0.1,0.00614439324116743,0,0.814516129032258
"3616","GRAPE LEAVES,RAW",74,12.8956292609389,0.120430107526882,0.473118279569892,0.390322580645161,0.157108721624851,0.255376344086022,0.0978494623655914,0.0835637480798771,0.00403225806451613,0.0480286738351254,0.223118279569892,1.53494623655914,0.0138248847926267,0.198924731182796,0.028673835125448,0.223908918406072,0.126989247311828,0.0248387096774194,0.21505376344086,0.223118279569892,0,5.91849462365591,0.102406554019457,0,1.45967741935484
"2950","CELERY,RAW",74,12.8634743470076,0.08625,0.4,0.25,0.0694444444444444,0.171875,0.15,0.464285714285714,0.208333333333333,0.0541666666666667,0.109375,0.321875,0.0357142857142857,0.322916666666667,0.0875,0.209558823529412,0.1,0.15375,0.23125,0.5625,0,0.56125,0.0803571428571429,0,2.2890625
"2929","CABBAGE,SAVOY,RAW",73,12.6879839073195,0.148148148148148,0.459259259259259,0.12962962962963,0.0823045267489712,0.259259259259259,0.155555555555556,0.243386243386243,0.0432098765432099,0.0666666666666667,0.114814814814815,0.333333333333333,0.0476190476190476,1.91358024691358,0.17283950617284,0.065359477124183,0.0555555555555556,0.0692592592592593,0.351851851851852,0.740740740740741,0,0.740740740740741,0.0299823633156967,0,3.18518518518519
"968","TURKEY,WHL,GIBLETS,RAW",72,12.623853511674,0.293225806451613,0,0.0145161290322581,0.265232974910394,0.0443548387096774,0.179838709677419,0.0456221198156682,0.0456989247311828,0.173655913978495,0.232661290322581,0.0766129032258065,0.567972350230415,0,0.0801075268817204,0.660815939278937,0.350564516129032,0.313629032258064,0.263709677419355,0.667338709677419,1.75537634408602,2.11758064516129,0.00960061443932412,0.0685483870967742,0
"3074","ONIONS,SPRING OR SCALLIONS (INCL TOPS&BULB),RAW",72,12.5458977906242,0.114375,0.325,0.225,0.256944444444444,0.15625,0.115625,0.246428571428571,0.0208333333333333,0.08125,0.1296875,0.25,0.0267857142857143,0.979166666666667,0.114583333333333,0.147058823529412,0.08203125,0.0234375,0.0953125,0.5,0,0.623125,0.0818452380952381,0,8.0859375
"3596","RADICCHIO,RAW",72,12.5281924014263,0.124347826086957,0.156521739130435,0.0826086956521739,0.13768115942029,0.141304347826087,0.173913043478261,0.375155279503106,0.0398550724637681,0.179710144927536,0.741304347826087,0.3,0.0559006211180124,0.579710144927536,0.0463768115942029,0.0716112531969309,0.0554347826086957,0.11695652173913,0.123913043478261,0.652173913043478,0,0.0234782608695652,0.467908902691511,0,13.8695652173913
"2986","COWPEAS,YOUNG PODS W/SEEDS,RAW",72,12.5233229037603,0.15,0.3,0.147727272727273,0.126262626262626,0.329545454545455,0.147727272727273,0.13961038961039,0.00378787878787879,0.0515151515151515,0.113636363636364,0.35,0.0292207792207792,1.25,0.227272727272727,0.18716577540107,0.136363636363636,0.214772727272727,0.196590909090909,0.301136363636364,0,0.622272727272727,0.053030303030303,0,0.894886363636364
"3618","PEPPER,BANANA,RAW",71,12.3180213112262,0.122962962962963,0.503703703703704,0.0518518518518519,0.0946502057613169,0.157407407407407,0.118518518518519,0.270899470899471,0.0200617283950617,0.0617283950617284,0.174074074074074,0.185185185185185,0.0158730158730159,5.10493827160494,0.2,0.117647058823529,0.23,0.0981481481481482,0.661111111111111,0.268518518518518,0,0.251851851851852,0.121693121693122,0,0.439814814814815
"3619","PEPPERS,SERRANO,RAW",70,12.2299233116615,0.10875,0.4625,0.034375,0.149305555555556,0.171875,0.125,0.272321428571429,0.0130208333333333,0.0541666666666667,0.2015625,0.2921875,0.0178571428571429,2.33854166666667,0.1125,0.148897058823529,0.24015625,0.0625,0.7890625,0.1796875,0,0.585625,0.102678571428571,0,0.4609375
"3213","SQUASH,SUMMER,SCALLOP,RAW",70,12.2199993912637,0.133333333333333,0.266666666666667,0.105555555555556,0.123456790123457,0.319444444444444,0.2,0.288888888888889,0.00231481481481481,0.107407407407407,0.283333333333333,0.436111111111111,0.0158730158730159,1.66666666666667,0.259259259259259,0.0980392156862745,0.166666666666667,0.0566666666666667,0.302777777777778,0.416666666666667,0,0.241111111111111,0.0343915343915344,0,0.229166666666667
"3342","SEAWEED,WAKAME,RAW",70,12.2193871239753,0.134666666666667,0.0444444444444444,0.333333333333333,0.269135802469136,0.594444444444445,0.177777777777778,0.0317460317460317,0.807407407407407,0.0562962962962963,0.315555555555556,1.55555555555556,0.0222222222222222,0.111111111111111,0.0888888888888889,0.300653594771242,0.177777777777778,0.154888888888889,0.00222222222222222,1.08888888888889,0,0.16,0.105820105820106,0,0.147222222222222
"3629","MUSHROOMS,OYSTER,RAW",70,12.2039110987109,0.200606060606061,0.278787878787879,0.00909090909090909,0.223905723905724,0.136363636363636,0.363636363636364,0.363636363636364,0.0227272727272727,0.155555555555556,0.36969696969697,0.171212121212121,0.112554112554113,0,0.252525252525253,0.622103386809269,0.750909090909091,0.392121212121212,0.166666666666667,0.287878787878788,0,0.0290909090909091,0,0.21969696969697,0
"3621","PEPPERS,JALAPENO,RAW",70,12.1738150467504,0.0627586206896552,0.386206896551724,0.0413793103448276,0.0478927203065134,0.129310344827586,0.0896551724137931,0.244334975369458,0.00431034482758621,0.032183908045977,0.0793103448275862,0.167241379310345,0.0197044334975369,6.81609195402299,0.0919540229885057,0.141987829614604,0.220689655172414,0.108620689655172,0.722413793103448,0.232758620689655,0,0.743448275862069,0.587848932676519,0,0.797413793103448
