,food,cat,subcat,kalescale,nd,protein,fiber,calcium,iron,magnesium,phosphorous,potassium,sodium,zinc,copper,manganese,selenium,vitc,thiamin,riboflavin,niacin,pantothenicacid,vitb6,folate,vitb12,vita,vite,vitd,vitk
5201,"VEAL,SHLDR,ARM,LN&FAT,RAW",meat,redmeat,27,4.672602046,0.293030303,0,0.015909091,0.042087542,0.047348485,0.157575758,0.070779221,0.026199495,0.161616162,0.045454545,0.010606061,0.090909091,0,0.04040404,0.120320856,0.289015152,0.095454545,0.166666667,0.028409091,0.172979798,0,0.00974026,0,0.043560606
2684,"PORK,FRSH,LOIN,CNTR RIB (CHOPS OR ROASTS),BNLESS,LN,RAW",meat,redmeat,27,4.658967394,0.286842105,0,0.003289474,0.028143275,0.036184211,0.136184211,0.079135338,0.012335526,0.074122807,0.019078947,0.003289474,0.332706767,0.003289474,0.375438596,0.10371517,0.165657895,0.050394737,0.154605263,0.011513158,0.058114035,0.000789474,0.005639098,0.041118421,0
7214,"BEEF,PLATE STEAK,BNLESS,INSIDE SKIRT,LN,0"" FAT,SEL,RAW",meat,redmeat,27,4.643589892,0.28248366,0,0.003921569,0.063907044,0.035947712,0.100653595,0.054528478,0.017973856,0.280610022,0.027124183,0.027124183,0.2054155,0,0.026143791,0.123029604,0.185457516,0.037908497,0.142156863,0.004901961,0.232026144,0.001045752,0.003112356,0.004901961,0.012254902
2223,"CARAMBOLA,(STARFRUIT),RAW",fruit,,27,4.635891554,0.067096774,0.361290323,0.009677419,0.014336918,0.080645161,0.038709677,0.122580645,0.002688172,0.025806452,0.220967742,0.059677419,0.02764977,1.849462366,0.030107527,0.030360531,0.059193548,0.126129032,0.027419355,0.096774194,0,0.039354839,0.023041475,0,0
129,"EGG,QUAIL,WHOLE,FRESH,RAW",animalproduct,,26,4.620434148,0.165189873,0,0.040506329,0.128340366,0.02056962,0.143037975,0.023869801,0.037183544,0.062025316,0.019620253,0.012025316,0.289330922,0,0.054852321,0.294117647,0.004746835,0.111455696,0.047468354,0.10443038,0.166666667,0.068734177,0.032549729,0.087025316,0.002373418
7126,"BEEF,CHUCK EYE STEAK,BNLESS,LN,0"" FAT,CHOIC,RAW",meat,redmeat,26,4.615417717,0.266375,0,0.009375,0.078819444,0.034375,0.125625,0.06625,0.018229167,0.350416667,0.023125,0.003125,0.204464286,0,0.029166667,0.061397059,0.15009375,0.045,0.108125,0.0046875,0.322916667,0.00075,0.005059524,0.00625,0.01171875
7406,"BEEF,LOIN,TOP LOIN STEAK,BNLESS,LIP OFF,LN,0"" FAT,CHOIC,RAW",meat,redmeat,26,4.615299987,0.307785235,0,0.010067114,0.071961223,0.018456376,0.137583893,0.054266539,0.012863535,0.169574944,0.01409396,0.000671141,0.201342282,0,0.023713647,0.080931702,0.233120805,0.024161074,0.197651007,0.006711409,0.191275168,0.000805369,0.007670182,0.005033557,0.012583893
7421,"BEEF,LOIN,TOP LOIN STEAK,BNLESS,LIP-ON,LN,1/8"" FAT,CHOIC,RAW",meat,redmeat,26,4.615299987,0.307785235,0,0.010067114,0.071961223,0.018456376,0.137583893,0.054266539,0.012863535,0.169574944,0.01409396,0.000671141,0.201342282,0,0.023713647,0.080931702,0.233120805,0.024161074,0.197651007,0.006711409,0.191275168,0.000805369,0.007670182,0.005033557,0.012583893
2576,"PORK,FRSH,LOIN,TOP LOIN (CHOPS),BNLESS,LN & FAT,RAW",meat,redmeat,26,4.604376551,0.278064516,0,0.004516129,0.017921147,0.041935484,0.145806452,0.06875576,0.012903226,0.066666667,0.018064516,0.002258065,0.305069124,0,0.28688172,0.070208729,0.257677419,0.046903226,0.234193548,0,0.056989247,0.000516129,0.003993856,0.029032258,0
127,"EGG,DUCK,WHOLE,FRESH,RAW",animalproduct,,26,4.592085672,0.138486486,0,0.034594595,0.115615616,0.022972973,0.118918919,0.034285714,0.032882883,0.050810811,0.016756757,0.01027027,0.281081081,0,0.056216216,0.12845787,0.005405405,0.100648649,0.067567568,0.108108108,0.486486486,0.072864865,0.034491634,0.093243243,0.002702703
7222,"BEEF,RIB EYE STEAK,BNLESS,LIP OFF,LN,0"" FAT,ALL GRDS,RAW",meat,redmeat,26,4.574777131,0.283766234,0,0.003896104,0.06998557,0.037337662,0.101298701,0.051205937,0.015151515,0.245454545,0.024675325,0.024350649,0.253246753,0,0.04978355,0.103514133,0.180357143,0.034415584,0.151623377,0.006493506,0.202380952,0.000909091,0.004638219,0.00487013,0.012175325
4582,"WHITEFISH,MXD SP,RAW",meat,seafood,26,4.574249265,0.284925373,0,0.019402985,0.015339967,0.061567164,0.201492537,0.067590618,0.015858209,0.049253731,0.026865672,0.025,0.134328358,0,0.069651741,0.052677788,0.111940299,0.055970149,0.111940299,0.027985075,0.124378109,0.017910448,0.007107321,0.891791045,0.000932836
2385,"PINEAPPLE,RAW,ALL VAR",fruit,,26,4.567833104,0.0216,0.112,0.026,0.032222222,0.06,0.016,0.062285714,0.000833333,0.016,0.11,0.927,0.002857143,1.593333333,0.105333333,0.037647059,0.05,0.0426,0.112,0.09,0,0.0232,0.001904762,0,0.0175
7200,"BEEF,RIB EYE STK/RST,BNLESS,LIP-ON,LN,1/8"" FAT,ALL GRDS,RAW",meat,redmeat,26,4.521512144,0.281923077,0,0.003846154,0.069088319,0.036858974,0.1,0.050549451,0.014957265,0.242307692,0.024358974,0.024038462,0.25,0,0.049145299,0.102187029,0.178044872,0.033974359,0.149679487,0.006410256,0.199786325,0.000897436,0.004578755,0.004807692,0.012019231
4523,"POMPANO,FLORIDA,RAW",meat,seafood,26,4.511878316,0.225365854,0,0.013414634,0.020325203,0.041158537,0.118902439,0.066376307,0.016514228,0.029268293,0.011585366,0.003963415,0.317944251,0,0.227642276,0.043041607,0.091463415,0.045731707,0.06097561,0.022865854,0.132113821,0.016097561,0.005226481,0.669207317,0.000762195
4746,"BEANS,KIDNEY,RED,MATURE SEEDS,RAW",vegprotein,legume,26,4.480799307,0.133709199,0.18041543,0.02462908,0.110286845,0.102373887,0.120474777,0.115218313,0.00148368,0.055192878,0.103709199,0.164836795,0.01356507,0.022255193,0.120276954,0.037528364,0.031305638,0.023145401,0.058902077,0.292284866,0,0,0.002967359,0,0.020771513
7201,"BEEF,RIB EYE STEAK/ROAST,BNLESS,LIP-ON,LN,1/8"" FAT,CHOIC,RAW",meat,redmeat,26,4.472809027,0.268571429,0,0.004347826,0.070393375,0.034161491,0.095031056,0.04649512,0.014492754,0.233126294,0.022049689,0.022049689,0.244010648,0,0.053830228,0.101571063,0.171987578,0.032919255,0.148757764,0.004658385,0.202898551,0.000745342,0.005323869,0.004658385,0.011645963
3230,"SQUASH,WNTR,SPAGHETTI,RAW",vegetable,green,26,4.470651707,0.041290323,0.193548387,0.074193548,0.055555556,0.096774194,0.038709677,0.099539171,0.022849462,0.040860215,0.059677419,0.201612903,0.013824885,0.112903226,0.079569892,0.034155598,0.153225806,0.116129032,0.162903226,0.096774194,0,0.077419355,0.019969278,0,0.036290323
4150,"BEEF,BRISKET,FLAT HALF,BNLESS,LN & FAT,0"" FAT,SEL,RAW",meat,redmeat,26,4.467147097,0.260379747,0,0.007594937,0.071026723,0.034810127,0.130379747,0.060759494,0.021624473,0.213080169,0.019936709,0.000632911,0.22965642,0,0.033333333,0.057334326,0.185917722,0.046202532,0.188924051,0.004746835,0.198312236,0.00164557,0.00331525,0.006329114,0.011867089
2845,"PORK,FRSH,LOIN,BLDE (CHOPS OR ROAST),BNLESS,LN & FAT OLY,RAW",meat,redmeat,26,4.463488462,0.261656051,0,0.003821656,0.026185421,0.03343949,0.148407643,0.067697907,0.016985138,0.07388535,0.016878981,0.002866242,0.337579618,0,0.254352442,0.085050581,0.209044586,0.052929936,0.17388535,0,0.052016985,0.001783439,0.005762815,0.02866242,0
2270,"GRAPEFRUIT,RAW,PINK&RED&WHITE,ALL AREAS",fruit,,25,4.451971366,0.039375,0.1375,0.0375,0.015625,0.0625,0.025,0.124107143,0,0.014583333,0.0734375,0.01875,0.013392857,1.791666667,0.075,0.036764706,0.0390625,0.0884375,0.065625,0.078125,0,0.579375,0.019345238,0,0
7224,"BEEF,RIB EYE STEAK,BNLESS,LIP OFF,LN,0"" FAT,CHOIC,RAW",meat,redmeat,25,4.442286733,0.264691358,0,0.004320988,0.069958848,0.033950617,0.094444444,0.046208113,0.014403292,0.231687243,0.02191358,0.02191358,0.242504409,0,0.053497942,0.100944081,0.170925926,0.032716049,0.147839506,0.00462963,0.201646091,0.000740741,0.005291005,0.00617284,0.011574074
151,"EGG,WHITE,RAW,FRZ,PAST",animalproduct,,25,4.435129574,0.404347826,0,0.02173913,0.020531401,0.059782609,0.02826087,0.104968944,0.15307971,0.010144928,0.034782609,0.007608696,0.285714286,0,0.033333333,0.540920716,0.010108696,0.031956522,0.004347826,0.054347826,0.326086957,0,0,0,0
4510,"MULLET,STRIPED,RAW",meat,fish,25,4.431244549,0.330769231,0,0.035042735,0.048433048,0.061965812,0.188888889,0.087179487,0.023148148,0.02962963,0.021794872,0.006837607,0.445665446,0.017094017,0.051282051,0.040221217,0.222222222,0.064957265,0.181623932,0.019230769,0.031339031,0.021025641,0.040700041,0.13034188,0.001068376
3942,"BEEF,SHRT LOIN,T-BONE STEAK,BONE-IN,LN,1/8"" FAT,ALL GRDS,RAW",meat,redmeat,25,4.430284904,0.290457516,0,0.01372549,0.060275962,0.017973856,0.130718954,0.049859944,0.011437908,0.169063181,0.018954248,0.000980392,0.212885154,0,0.023529412,0.082660515,0.187941176,0.023398693,0.208496732,0.006535948,0.197167756,0.000915033,0.008092126,0.004901961,0.009803922
870,"CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MEAT ONLY,RAW",meat,poultry,25,4.42467026,0.334655172,0,0.007758621,0.036398467,0.043103448,0.15,0.055418719,0.040948276,0.117816092,0.028448276,0.006034483,0.268472906,0,0.051724138,0.111561866,0.224051724,0.094827586,0.164224138,0.00862069,0.073275862,0.003793103,0.007389163,0.002155172,0.03125
7220,"BEEF,PLATE STEAK,BNLESS,OUTSIDE SKIRT,LN,0"" FAT,SEL,RAW",meat,redmeat,25,4.397184797,0.193333333,0,0.003030303,0.106621773,0.026515152,0.077272727,0.037518038,0.013678451,0.18047138,0.044191919,0.044191919,0.173160173,0,0.037037037,0.170825906,0.108838384,0.057575758,0.10530303,0.003787879,0.434343434,0.000909091,0.002886003,0.007575758,0.009469697
128,"EGG,GOOSE,WHOLE,FRESH,RAW",animalproduct,,25,4.394814391,0.149945946,0,0.032432432,0.109309309,0.021621622,0.112432432,0.032432432,0.031081081,0.047927928,0.016756757,0.01027027,0.284942085,0,0.052972973,0.121462639,0.005108108,0.095081081,0.063783784,0.102702703,0.459459459,0.07027027,0.033204633,0.089189189,0.002702703
7199,"BEEF,RIB EYE STEAK/ROAST,BONE-IN,LIP-ON,LN,1/8"" FAT,SEL,RAW",meat,redmeat,25,4.390039024,0.279354839,0,0.006451613,0.071326165,0.033870968,0.095483871,0.051797235,0.016935484,0.218064516,0.023225806,0.023225806,0.188940092,0,0.043010753,0.096774194,0.172258065,0.036129032,0.168064516,0.00483871,0.210752688,0.001032258,0.004301075,0.003225806,0.012096774
7115,"BEEF,CHUCK,SHRT RIBS,BNLESS,LN,0"" FAT,SEL,RAW",meat,redmeat,25,4.3784484,0.250186335,0,0.007453416,0.080745342,0.031055901,0.11242236,0.053771074,0.024068323,0.337060041,0.02515528,0.004037267,0.18988465,0,0.033126294,0.073072707,0.110559006,0.044720497,0.100310559,0.004658385,0.368530021,0.000993789,0.004732328,0.00621118,0.011645963
